Common name,Scientific_Name
Wheat,Triticumæaestivum
Tomato ,Solanum lycopersicum
Cotton,Gossypium hirsutum
Coffee,Coffea arabica
Rice,Oryza sativa
Spinach,Spinacia oleracea
Lemon,Citrus limon
Lentil,Lens culinaris
Cucumbers,Cucumis sativus
Paper birch,Betula papyriferaæ
Cedar wood,Calocedrus decurrens
Rubber tree,Hevea brasiliensis
Orange,Citrus X sinensis
Potato,Solanum tuberosum
Basil,Ocimum basilicum
Garlic,Allium sativum
Apple,Malus pumilla
Green tea,Camellia sinesis
Corn,Zea mays
Olive,Olea europea
Onion,Allium cepa
Ginger,Zingiber offcinale
Seaseme,Sesamum indicum
Broccoli,Brassica oleracea
Carrot,Daucus carota
