Common_name,Scientific_name
Virginia threeseed mercury,Acalypha virginica
red maple,Acer rubrum 
American hornbeam,Carpinus caroliniana
starved panicgrass,Dichanthelium depauperatum
intermediate woodfern,Dryopteris intermedia 
prairie fleabane,Erigeron strigosus
white wood aster,Eurybia divaricata
Virginia creeper,Parthenocissus quinquefolia 
black cherry,Prunus serotina
Allegheny blackberry,Rubus allegheniensis
roundleaf greenbrier,Smilax rotundifolia
blackhaw,Viburnum prunifolium
marsh blue violet,Viola cucullata 
sweetgum,Liquidambar styraciflua 
western brackenfern,Pteridium aquilinum
American chestnut,Castanea dentata
cinnamon fern,Osmunda cinnamomea 
red chokeberry,Photinia pyrifolia
northern red oak,Quercus rubra
flameleaf sumac,Rhus copallinum
smooth cordgrass,Spartina alterniflora 
saltmeadow cordgrass,Spartina patens
mapleleaf viburnum,Viburnum acerifolium
nimblewill,Muhlenbergia schreberi
